  Grid, Temperature, Uvec, density, HCO+(x200), H3O+, E, ePotential, efield
   5.010e-02,   1.838e+03,   4.316e+00,   1.955e-01,   5.874e+07,   6.002e+09,   5.614e+09,   6.368e-01,  -4.042e+00
   5.010e-02,   1.851e+03,   4.345e+00,   1.942e-01,   6.017e+07,   6.041e+09,   5.646e+09,   6.388e-01,  -3.693e+00
   5.011e-02,   1.862e+03,   4.372e+00,   1.930e-01,   6.033e+07,   6.072e+09,   5.676e+09,   6.406e-01,  -3.344e+00
   5.011e-02,   1.873e+03,   4.396e+00,   1.919e-01,   5.929e+07,   6.096e+09,   5.703e+09,   6.422e-01,  -2.997e+00
   5.012e-02,   1.882e+03,   4.417e+00,   1.910e-01,   5.719e+07,   6.112e+09,   5.727e+09,   6.437e-01,  -2.657e+00
   5.012e-02,   1.891e+03,   4.437e+00,   1.902e-01,   5.422e+07,   6.121e+09,   5.747e+09,   6.450e-01,  -2.327e+00
   5.013e-02,   1.899e+03,   4.454e+00,   1.894e-01,   5.057e+07,   6.123e+09,   5.764e+09,   6.461e-01,  -2.009e+00
   5.013e-02,   1.906e+03,   4.470e+00,   1.887e-01,   4.648e+07,   6.118e+09,   5.777e+09,   6.471e-01,  -1.707e+00
   5.014e-02,   1.913e+03,   4.484e+00,   1.881e-01,   4.214e+07,   6.109e+09,   5.786e+09,   6.479e-01,  -1.423e+00
   5.014e-02,   1.919e+03,   4.498e+00,   1.876e-01,   3.774e+07,   6.094e+09,   5.792e+09,   6.486e-01,  -1.156e+00
   5.015e-02,   1.925e+03,   4.510e+00,   1.871e-01,   3.341e+07,   6.075e+09,   5.795e+09,   6.492e-01,  -7.844e-01
   5.016e-02,   1.936e+03,   4.532e+00,   1.862e-01,   2.557e+07,   6.026e+09,   5.790e+09,   6.499e-01,  -3.664e-01
   5.017e-02,   1.945e+03,   4.551e+00,   1.854e-01,   1.894e+07,   5.968e+09,   5.773e+09,   6.503e-01,  -2.187e-02
   5.018e-02,   1.954e+03,   4.568e+00,   1.847e-01,   1.365e+07,   5.905e+09,   5.748e+09,   6.503e-01,   2.562e-01
   5.019e-02,   1.962e+03,   4.585e+00,   1.840e-01,   9.618e+06,   5.839e+09,   5.714e+09,   6.501e-01,   4.765e-01
   5.020e-02,   1.970e+03,   4.600e+00,   1.834e-01,   6.643e+06,   5.772e+09,   5.675e+09,   6.496e-01,   6.481e-01
   5.021e-02,   1.977e+03,   4.614e+00,   1.829e-01,   4.501e+06,   5.707e+09,   5.632e+09,   6.490e-01,   7.796e-01
